"officer_badge_number","officer_name"
"10868","Carlos Rodriguez"
"5401","John Drennan"
"10731","James Peeler"
"8506","Robin Swan"
"8311","Quinn Huntley"
"10096","Patrick Thull"
"9838","Celso Rocha"
"10823","Phouvanh Chanthahaengxay"
"10520","Phillip Wheeler"
"8726","Alvin Ball"
"10871","Darin Harris"
"10664","Anthony Heims"
"6345","Leon Surles"
"10596","Kevin Murphy"
"9188","Brandon Bray"
"6270","David Feinstein"
"9136","Paul James"
"5181","Dennis Spears"
"10279","Chinh Weltman"
"10380","Bianca Rincon"
"9421","Starr Evans"
"6654","Michael Phillips"
"8886","Brian Friedrichs"
"10922","Dominique Williams"
"108680","Marcus Sasser Sr."
"9433","Alex Garcia"
"10339","David Wilson"
"10498","Sean Pease"
"6915","Anthony Leonard"
"8167","David Robinson"
"10891","Arturo Perez"
"10895","Christopher Hankins"
"9026","Paul Ford"
"8892","Micheal Johnson"
"10479","Aubri Johnson"
"8697","Ashley Rios"
"10889","Philip Dehoyos"
"9564","Jeffrey Johnson"
"10860","Jeffrey Gaston"
"9924","Jason Russell"
"10854","Justin Barger"
"10722","Peter Lickwar"
"7128","Franklin Treigle Jr"
"8818","Amanda Precourt"
"8918","Jonathan Bruinsma"
"10903","Leland Operacz"
"9647","Paul Thayer"
"10798","Jerry Tames"
"7729","David Yzaguirre"
"10813","Emanuel Paulos"
"9622","Humberto Giovannini"
"10180","Matthew Shuler"
"10873","Brett Salsman"
"8792","Cassie Dotsy"
"8289","Singh Boulom"
"10885","Hung Pham"
"8556","Patrick Burke"
"10338","Earnest Thomas"
"8062","Archie Beason"
"10171","James Mcmahan"
"6293","Gary Collins"
"10917","Timothy Stinson"
"6751","Paul Campopiano Iii"
"10949","Douglas Moore"
"6832","Gary Sanders"
"5286","David Ruiz"
"6650","Rhonda Karnes"
"10948","Baylen Clegg"
"9735","Robert Kamphouse"
"5116","John Airaghi"
"10906","Ezekwesiri Nduka"
"5182","Lorelei Tanney"
"10436","Michael Jester"
"7476","Christopher Gibson"
"10913","Jacob Busken"
"10683","Frank Johnson"
"10321","Christopher Aagre"
"9082","Johnathan Taylor"
"9524","Michael Dewilde"
"8481","Otha Hampton Jr"
"4800","David Detamble"
"10704","Russell Mayle"
"4665","Rodney Nevils"
"9916","Lloyd Mcinnis Ll"
"9890","Jonathan Fenstermacher"
"9704","Jc Stuard"
"9515","Anthony Wardsworth"
"6066","Paul Bescherer"
"10005","Richard Ruiz"
"6297","Robert Baudendistel"
"10779","Mark Kelly"
"116113","Ariana Holmes"
"4557","Kenneth Budjenska"
"10230","Cody Shaklee"
"10862","Kevin Mathew"
"10239","Trevis Graham"
"9265","Andrea Shipp"
"10632","Paul Kessenich"
"10724","J Branden Helms"
"10907","Garrett Volz"
"10946","Ariel Padilla-Lugo"
"10947","Paris Chambers"
"9267","Richard Melo"
"10941","Drew Astle"
"10727","Joshua Irvin"
"10901","Calvin Hudson"
"6250","John Puente"
"10099","Quinton Furr"
"10394","Benjamin Sivess"
"10902","Chris Leiva"
"6943","Jack Hurd"
"6970","William Martinez"
"10352","Ryan Lowman"
"9799","Patrick Roth"
"10526","De'arrius Jones"
"8266","Brett Brown"
"9358","Johnny Green"
"9848","Gerardo Juarez"
"10918","Chase Howland"
"9554","Joseph Kennard"
"10896","Brett Miner"
"10726","Stephan Kendall"
"9731","Ricardo Ramirez"
"10708","Colin Smythe"
"10880","Kevin Pfister"
"10905","Jeremiah Hare"
"10911","Jared Krupa"
"10661","Carlos Jaramillo"
"10419","Ashton Hunter"
"9979","Nicholas Pierce"
"5842","Clarence Chapman"
"4411","James Byerly Jr"
"10655","Raashid Brown"
"10207","Jeffrey Berry"
"10869","Rachel Rice"
"10692","David Barnett Iii"
"9762","Paul Strange Jr."
"10307","Jana Brewster"
"7953","Gracie Hernandez"
"10074","Adam Constantine"
"4543","Constance Kendall"
"5324","Michael Potter"
"10115","Jason Amaro"
"10944","Rowdy Spradling"
"7352","Woodruff Leel"
"10821","Lauren Bolton"
"10858","James Gordon"
"10745","Agustin Ramirez Iii"
"9883","David Hernandez"
"4697","Richard Elwonger"
"6303","Eduardo Pacheco"
"5230","Jon Lumbley"
"7253","Derrick Banks"
"6885","Ceaphus Gordon Iii"
"8441","Marcus Howland"
"8563","Joshua Vogel"
"9821","Daniel Sullivan"
"6366","Mark Johnson"
"6819","Roberto Blanco"
"10685","Jerri Rowe"
"7035","Ray Mccampbell"
"10489","Vasquez Danny"
"10366","David Sanchez"
"8728","Kevin Stovall"
"10908","Fernando Garcia"
"8924","Christopher Timms"
"8484","An Cao"
"9877","Brandon Roberson"
"4796","Brett Binford"
"9822","Sergio Betancourt"
"9639","Corey Cardoza"
"10422","Fernando Silva"
"10806","Tiffany Williams"
"10710","Mark Collins"
"9133","Joshua Sims"
"6236","James Perry"
"10762","Marcus French"
"10842","Justin Parker"
"7434","Gerardo Monreal"
"7970","Agustin Martinez Jr"
"6774","Albert Chacon"
"10577","James Vanarsdall"
"4776","Richard Balluch"
"10551","James Macdonald"
"9465","Titania Richard"
"10912","Ashley Townsend"
"7340","Joel Reyes"
"4491","Donald Waterson"
"6457","Michael Baesa"
"10930","Brian Lauer"
"9596","Rashad Allen"
"5273","Bruce Lankford"
"5705","John Burke"
"10925","Todd Harlan"
"10640","Theron Akin"
"8071","Steven Brown"
"10863","Brett Meldrum"
"106291","Diane Belaye"
"10950","Danquell Cameron"
"8267","Geoffrey Pettay"
"9349","J'ron Morrison"
"10439","James Keteltas"
"8240","Thomas White"
"8574","Michael Begin"
"6452","Kimberley Jenkins"
"8779","Mitchell Hamm"
"10604","Jeanette Weng"
"10662","Andres Sanchez"
"10182","Kirk Johnson"
"10935","Michael Pence"
"10870","Kenneth Castoral"
"8569","Bradley Hance"
"9211","Omari Artist"
"10841","Andy Blume"
"7837","Jason Trahan"
"6960","Ransom Funches"
"6569","Alexander Tarrant"
"10598","Christopher Schaller"
"10758","Kenny Solis"
