Race,Percentage
White alone (not Hispanic/Latino),29.00%
Black or African American alone,24.30%
American Indian and Alaska Native alone,0.30%
Native Hawaiian and Other Pacific Islander alone,0.00%
White alone,62.50%
Asian alone,3.40%
Two or More Races,2.50%
Hispanic or Latino alone,41.70%
