"Incident Number","date","time","hour","Officers Involved","Officers.Race","Officers.Ethnicity","Officers.Sex","UOF.Level","Offenders.Race","Offenders.Ethnicity","Offenders.Sex","Binning Number of Officers"
"2012-00018824","01/13/2012","06:42:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Female;Male","2","Black","Non-hispanic","Male","2"
"2012-00378621","09/12/2012","03:24:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","White","Non-hispanic","Male","3+"
"2010-00215238","05/08/2010","12:30:00","AM",1,"White","Non-hispanic","Male","1","White","Hispanic","Male","1"
"2014-00078255","02/23/2014","02:09:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Hispanic","Male","2"
"2017-00073049","02/22/2017","05:22:00","AM",4,"White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2014-00248730","06/14/2014","02:25:00","AM",1,"White","Hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2015-00084081","02/26/2015","11:50:00","PM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2014-00270699","06/28/2014","09:52:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2015-00239773","06/11/2015","04:33:00","PM",3,"Asian;White;Black","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","1","Black","Non-hispanic","Male","3+"
"2014-00454028","11/01/2014","03:34:00","PM",1,"White","Non-hispanic","Male","2","White","Hispanic","Male","1"
"2009-00571665","12/03/2009","03:15:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2009-00178791","04/16/2009","06:38:00","PM",1,"White","Non-hispanic","Male","1","White","Non-hispanic","Male","1"
"2010-00103542","03/03/2010","03:37:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2010-00105607","03/04/2010","08:29:00","PM",3,"White;White;Asian","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2012-00029891","01/21/2012","02:57:00","AM",2,"Black;White","Non-hispanic;Hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2010-00558885","11/29/2010","10:51:00","PM",1,"White","Non-hispanic","Male","","Black","Non-hispanic","Male","1"
"2012-00254586","06/18/2012","12:17:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","2","Black","Non-hispanic","Male","2"
"2009-00605241","12/24/2009","01:58:00","AM",1,"White","Non-hispanic","Male","1","Black","Non-hispanic","Female","1"
"2014-00532552","12/28/2014","02:13:00","AM",4,"White;Black;Black;Black","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","2",NA,"Non-hispanic;Non-hispanic",NA,"3+"
"2015-00244555","06/15/2015","02:37:00","AM",1,"Black","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2016-00448298","11/05/2016","04:24:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2011-00385007","08/30/2011","03:16:00","PM",2,"White;Asian","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2010-00447352","09/21/2010","12:26:00","AM",2,"Asian;White","Non-hispanic;Non-hispanic","Male;Female","2","White","Hispanic","Male","2"
"2009-00184767","04/20/2009","12:37:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2010-00038892","01/24/2010","02:39:00","AM",3,"White;Black;Black","Non-hispanic;Hispanic;Non-hispanic","Male;Male;Male","2","White;White","Non-hispanic;Non-hispanic","Male;Male","3+"
"2012-00092480","02/29/2012","11:37:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","White","Non-hispanic","Male","3+"
"2012-00165102","04/19/2012","12:51:00","AM",2,"Asian;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2010-00387285","08/17/2010","05:55:00","PM",1,"White","Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2017-00035522","01/27/2017","02:02:00","AM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2011-00459077","10/17/2011","01:34:00","AM",2,"White;White","Hispanic;Hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2012-00430733","10/17/2012","12:38:00","PM",2,"White;White","Hispanic;Non-hispanic","Male;Male","1","Asian","Non-hispanic","Male","2"
"2015-00520857","12/20/2015","12:54:00","AM",1,"Black","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2013-00097894","03/06/2013","09:54:00","PM",1,"Asian","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2015-00092563","03/04/2015","06:54:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Female","2","Black","Non-hispanic","Male","3+"
"2017-00221021","06/06/2017","11:38:00","PM",2,"Black;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2009-00506410","10/24/2009","08:08:00","PM",1,"Asian","Non-hispanic","Male","2","Asian","Non-hispanic","Male","1"
"2013-00142991","04/06/2013","07:46:00","PM",1,"Black","Hispanic","Male","1","Black","Non-hispanic","Male","1"
"2010-00096073","02/27/2010","01:49:00","AM",3,"White;White;Black","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","White","Non-hispanic","Male","3+"
"2015-00230156","06/04/2015","10:32:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","2","White","Non-hispanic","Male","2"
"2010-00465865","10/02/2010","01:31:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Female;Male","2","White","Non-hispanic","Male","3+"
"2011-00121968","03/17/2011","02:22:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","White","Non-hispanic","Male","3+"
"2009-00573437","12/04/2009","05:18:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2010-00399889","08/25/2010","07:21:00","AM",1,"White","Non-hispanic","Male","","Black","Non-hispanic","Male","1"
"2016-00074571","02/20/2016","08:58:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2011-00156528","04/08/2011","04:41:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2011-00186771","04/27/2011","02:39:00","AM",2,"White;Black","Non-hispanic;Non-hispanic","Male;Male","","Black","Non-hispanic","Female","2"
"2011-00094939","02/28/2011","08:22:00","PM",2,"White;White","Non-hispanic;Hispanic","Male;Male","2","Black","Non-hispanic","Female","2"
"2014-00454685","11/02/2014","01:42:00","AM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2016-00021729","01/15/2016","11:06:00","PM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2010-00285639","06/17/2010","02:23:00","PM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2009-00333661","07/15/2009","01:20:00","AM",1,"White","Hispanic","Male","1","White;White","Non-hispanic;Non-hispanic","Male;Male","1"
"2014-00079380","02/24/2014","12:57:00","AM",3,"White;White;White","Hispanic;Non-hispanic;Non-hispanic","Male;Female;Male","2","Black","Non-hispanic","Male","3+"
"2017-00098406","03/11/2017","09:38:00","PM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2017-00328958","08/22/2017","12:21:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Female;Female;Male","2","Black","Non-hispanic","Male","3+"
"2014-00099609","03/09/2014","01:32:00","AM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2015-00314608","08/02/2015","08:43:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2012-00349408","08/22/2012","11:10:00","PM",2,"White;White","Hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2017-00285973","07/23/2017","02:08:00","AM",4,"White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","2","Black;Black","Non-hispanic;Non-hispanic","Male;Male","3+"
"2009-00460622","09/28/2009","01:12:00","AM",1,"White","Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2013-00091891","03/02/2013","10:14:00","PM",2,"White;Asian","Non-hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2011-00213713","05/14/2011","01:33:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2010-00137652","03/23/2010","10:54:00","PM",2,"Asian;White","Non-hispanic;Non-hispanic","Male;Female","2","Black","Non-hispanic","Male","2"
"2010-00459938","09/29/2010","01:48:00","AM",3,"White;Black;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Female","1","White","Non-hispanic","Male","3+"
"2013-00309649","07/28/2013","08:53:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2010-00438597","09/15/2010","09:09:00","PM",1,"Black","Non-hispanic","Male","1","Black","Non-hispanic","Male","1"
"2017-00401010","10/12/2017","12:52:00","AM",3,"White;Black;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2016-00177551","04/29/2016","04:33:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2009-00568832","12/01/2009","11:35:00","PM",4,"White;White;Asian;White","Non-hispanic;Hispanic;Non-hispanic;Non-hispanic","Female;Male;Male;Male","2","White","Non-hispanic","Male","3+"
"2014-00168670","04/23/2014","10:50:00","PM",1,"Black","Non-hispanic","Male","","White","Hispanic","Female","1"
"2013-00150964","04/12/2013","02:58:00","AM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2009-00595700","12/17/2009","11:36:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2009-00045530","01/28/2009","08:26:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2016-00457367","11/12/2016","02:27:00","AM",1,"White","Hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2014-00005541","01/05/2014","12:19:00","AM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Female","1"
"2012-00507902","12/10/2012","02:42:00","AM",3,"Asian;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2015-00035135","01/25/2015","01:40:00","AM",4,"White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","1","White","Hispanic","Male","3+"
"2017-00254783","07/01/2017","12:07:00","AM",1,"White","Non-hispanic","Male","2","White;White","Non-hispanic;Non-hispanic","Male;Male","1"
"2017-00087018","03/03/2017","09:08:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2015-00051267","02/05/2015","09:28:00","AM",1,"Black","Non-hispanic","Female","2","Black","Non-hispanic","Male","1"
"2015-00302112","07/24/2015","06:57:00","PM",1,"Asian","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2017-00043911","02/01/2017","11:32:00","PM",3,"Asian;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Female;Male","2","Black","Non-hispanic","Male","3+"
"2016-00107331","03/13/2016","05:46:00","PM",1,"White","Non-hispanic","Male","1","White","Hispanic","Male","1"
"2014-00297804","07/17/2014","12:40:00","PM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2012-00530834","12/26/2012","02:52:00","AM",2,"White;Black","Non-hispanic;Non-hispanic","Male;Male","",NA,"Non-hispanic",NA,"2"
"2011-00551765","12/17/2011","08:58:00","PM",1,"White","Non-hispanic","Male","1","Black","Non-hispanic","Male","1"
"2011-00548831","12/15/2011","09:21:00","PM",5,"White;White;White;White;White","Hispanic;Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Female;Male;Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2012-00096778","03/03/2012","07:42:00","PM",2,"White;White","Hispanic;Non-hispanic","Male;Male","1",NA,"Non-hispanic",NA,"2"
"2011-00191398","04/29/2011","09:27:00","PM",1,"Black","Non-hispanic","Male","1","White","Non-hispanic","Male","1"
